"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"C436" "C43.6 Malignant melanoma of upper limb, including shoulder" "C436" "C43.6 Malignant melanoma of upper limb, including shoulder"
"C437" "C43.7 Malignant melanoma of lower limb, including hip" "C437" "C43.7 Malignant melanoma of lower limb, including hip"
"C438" "C43.8 Overlapping malignant melanoma of skin" "C438" "C43.8 Overlapping malignant melanoma of skin"
"C439" "C43.9 Malignant melanoma of skin, unspecified" "C439" "C43.9 Malignant melanoma of skin, unspecified"
"C44" "C44 Other malignant neoplasms of skin" "C44" "C44 Other malignant neoplasms of skin"
"C440" "C44.0 Skin of lip" "C440" "C44.0 Skin of lip"
"C441" "C44.1 Skin of eyelid, including canthus" "C441" "C44.1 Skin of eyelid, including canthus"
"C442" "C44.2 Skin of ear and external auricular canal" "C442" "C44.2 Skin of ear and external auricular canal"
"C443" "C44.3 Skin of other and unspecified parts of face" "C443" "C44.3 Skin of other and unspecified parts of face"
"C444" "C44.4 Skin of scalp and neck" "C444" "C44.4 Skin of scalp and neck"
"C445" "C44.5 Skin of trunk" "C445" "C44.5 Skin of trunk"
"C446" "C44.6 Skin of upper limb, including shoulder" "C446" "C44.6 Skin of upper limb, including shoulder"
"C447" "C44.7 Skin of lower limb, including hip" "C447" "C44.7 Skin of lower limb, including hip"
"C448" "C44.8 Overlapping lesion of skin" "C448" "C44.8 Overlapping lesion of skin"
"C449" "C44.9 Malignant neoplasm of skin, unspecified" "C449" "C44.9 Malignant neoplasm of skin, unspecified"
"C45" "C45 Mesothelioma" "C45" "C45 Mesothelioma"
"C450" "C45.0 Mesothelioma of pleura" "C450" "C45.0 Mesothelioma of pleura"
"C451" "C45.1 Mesothelioma of peritoneum" "C451" "C45.1 Mesothelioma of peritoneum"
"C452" "C45.2 Mesothelioma of pericardium" "C452" "C45.2 Mesothelioma of pericardium"
"C457" "C45.7 Mesothelioma of other sites" "C457" "C45.7 Mesothelioma of other sites"
"C459" "C45.9 Mesothelioma, unspecified" "C459" "C45.9 Mesothelioma, unspecified"
"C46" "C46 Kaposi's sarcoma" "C46" "C46 Kaposi's sarcoma"
"C460" "C46.0 Kaposi's sarcoma of skin" "C460" "C46.0 Kaposi's sarcoma of skin"
"C461" "C46.1 Kaposi's sarcoma of soft tissue" "C461" "C46.1 Kaposi's sarcoma of soft tissue"
"C462" "C46.2 Kaposi's sarcoma of palate" "C462" "C46.2 Kaposi's sarcoma of palate"
"C463" "C46.3 Kaposi's sarcoma of lymph nodes" "C463" "C46.3 Kaposi's sarcoma of lymph nodes"
"C467" "C46.7 Kaposi's sarcoma of other sites" "C467" "C46.7 Kaposi's sarcoma of other sites"
"C468" "C46.8 Kaposi's sarcoma of multiple organs" "C468" "C46.8 Kaposi's sarcoma of multiple organs"
"C469" "C46.9 Kaposi's sarcoma, unspecified" "C469" "C46.9 Kaposi's sarcoma, unspecified"
"C47" "C47 Malignant neoplasm of peripheral nerves and autonomic nervous system" "C47" "C47 Malignant neoplasm of peripheral nerves and autonomic nervous system"
"C470" "C47.0 Peripheral nerves of head, face and neck" "C470" "C47.0 Peripheral nerves of head, face and neck"
"C471" "C47.1 Peripheral nerves of upper limb, including shoulder" "C471" "C47.1 Peripheral nerves of upper limb, including shoulder"
"C472" "C47.2 Peripheral nerves of lower limb, including hip" "C472" "C47.2 Peripheral nerves of lower limb, including hip"
"C473" "C47.3 Peripheral nerves of thorax" "C473" "C47.3 Peripheral nerves of thorax"
"C474" "C47.4 Peripheral nerves of abdomen" "C474" "C47.4 Peripheral nerves of abdomen"
"C475" "C47.5 Peripheral nerves of pelvis" "C475" "C47.5 Peripheral nerves of pelvis"
"C476" "C47.6 Peripheral nerves of trunk, unspecified" "C476" "C47.6 Peripheral nerves of trunk, unspecified"
"C478" "C47.8 Overlapping lesion of peripheral nerves and autonomic nervous system" "C478" "C47.8 Overlapping lesion of peripheral nerves and autonomic nervous system"
"C479" "C47.9 Peripheral nerves and autonomic nervous system, unspecified" "C479" "C47.9 Peripheral nerves and autonomic nervous system, unspecified"
"C48" "C48 Malignant neoplasm of retroperitoneum and peritoneum" "C48" "C48 Malignant neoplasm of retroperitoneum and peritoneum"
"C480" "C48.0 Retroperitoneum" "C480" "C48.0 Retroperitoneum"
"C481" "C48.1 Specified parts of peritoneum" "C481" "C48.1 Specified parts of peritoneum"
"C482" "C48.2 Peritoneum, unspecified" "C482" "C48.2 Peritoneum, unspecified"
"C488" "C48.8 Overlapping lesion of retroperitoneum and peritoneum" "C488" "C48.8 Overlapping lesion of retroperitoneum and peritoneum"
"C49" "C49 Malignant neoplasm of other connective and soft tissue" "C49" "C49 Malignant neoplasm of other connective and soft tissue"
"C490" "C49.0 Connective and soft tissue of head, face and neck" "C490" "C49.0 Connective and soft tissue of head, face and neck"
"C491" "C49.1 Connective and soft tissue of upper limb, including shoulder" "C491" "C49.1 Connective and soft tissue of upper limb, including shoulder"
"C492" "C49.2 Connective and soft tissue of lower limb, including hip" "C492" "C49.2 Connective and soft tissue of lower limb, including hip"
"C493" "C49.3 Connective and soft tissue of thorax" "C493" "C49.3 Connective and soft tissue of thorax"
"C494" "C49.4 Connective and soft tissue of abdomen" "C494" "C49.4 Connective and soft tissue of abdomen"
"C495" "C49.5 Connective and soft tissue of pelvis" "C495" "C49.5 Connective and soft tissue of pelvis"
"C496" "C49.6 Connective and soft tissue of trunk, unspecified" "C496" "C49.6 Connective and soft tissue of trunk, unspecified"
"C498" "C49.8 Overlapping lesion of connective and soft tissue" "C498" "C49.8 Overlapping lesion of connective and soft tissue"
"C499" "C49.9 Connective and soft tissue, unspecified" "C499" "C49.9 Connective and soft tissue, unspecified"
"C50" "C50 Malignant neoplasm of breast" "C50" "C50 Malignant neoplasm of breast"
"C500" "C50.0 Nipple and areola" "C500" "C50.0 Nipple and areola"
"C501" "C50.1 Central portion of breast" "C501" "C50.1 Central portion of breast"
"C502" "C50.2 Upper-inner quadrant of breast" "C502" "C50.2 Upper-inner quadrant of breast"
"C503" "C50.3 Lower-inner quadrant of breast" "C503" "C50.3 Lower-inner quadrant of breast"
"C504" "C50.4 Upper-outer quadrant of breast" "C504" "C50.4 Upper-outer quadrant of breast"
"C505" "C50.5 Lower-outer quadrant of breast" "C505" "C50.5 Lower-outer quadrant of breast"
"C506" "C50.6 Axillary tail of breast" "C506" "C50.6 Axillary tail of breast"
"C508" "C50.8 Overlapping lesion of breast" "C508" "C50.8 Overlapping lesion of breast"
"C509" "C50.9 Breast, unspecified" "C509" "C50.9 Breast, unspecified"
"C51" "C51 Malignant neoplasm of vulva" "C51" "C51 Malignant neoplasm of vulva"
"C510" "C51.0 Labium majus" "C510" "C51.0 Labium majus"
"C511" "C51.1 Labium minus" "C511" "C51.1 Labium minus"
"C512" "C51.2 Clitoris" "C512" "C51.2 Clitoris"
"C518" "C51.8 Overlapping lesion of vulva" "C518" "C51.8 Overlapping lesion of vulva"
"C519" "C51.9 Vulva, unspecified" "C519" "C51.9 Vulva, unspecified"
"C52" "C52 Malignant neoplasm of vagina" "C52" "C52 Malignant neoplasm of vagina"
"C53" "C53 Malignant neoplasm of cervix uteri" "C53" "C53 Malignant neoplasm of cervix uteri"
"C530" "C53.0 Endocervix" "C530" "C53.0 Endocervix"
"C531" "C53.1 Exocervix" "C531" "C53.1 Exocervix"
"C538" "C53.8 Overlapping lesion of cervix uteri" "C538" "C53.8 Overlapping lesion of cervix uteri"
"C539" "C53.9 Cervix uteri, unspecified" "C539" "C53.9 Cervix uteri, unspecified"
"C54" "C54 Malignant neoplasm of corpus uteri" "C54" "C54 Malignant neoplasm of corpus uteri"
"C540" "C54.0 Isthmus uteri" "C540" "C54.0 Isthmus uteri"
"C541" "C54.1 Endometrium" "C541" "C54.1 Endometrium"
"C542" "C54.2 Myometrium" "C542" "C54.2 Myometrium"
"C543" "C54.3 Fundus uteri" "C543" "C54.3 Fundus uteri"
"C548" "C54.8 Overlapping lesion of corpus uteri" "C548" "C54.8 Overlapping lesion of corpus uteri"
"C549" "C54.9 Corpus uteri, unspecified" "C549" "C54.9 Corpus uteri, unspecified"
"C55" "C55 Malignant neoplasm of uterus, part unspecified" "C55" "C55 Malignant neoplasm of uterus, part unspecified"
"C56" "C56 Malignant neoplasm of ovary" "C56" "C56 Malignant neoplasm of ovary"
"C57" "C57 Malignant neoplasm of other and unspecified female genital organs" "C57" "C57 Malignant neoplasm of other and unspecified female genital organs"
"C570" "C57.0 Fallopian tube" "C570" "C57.0 Fallopian tube"
"C571" "C57.1 Broad ligament" "C571" "C57.1 Broad ligament"
"C572" "C57.2 Round ligament" "C572" "C57.2 Round ligament"
"C573" "C57.3 Parametrium" "C573" "C57.3 Parametrium"
"C574" "C57.4 Uterine adnexa, unspecified" "C574" "C57.4 Uterine adnexa, unspecified"
"C577" "C57.7 Other specified female genital organs" "C577" "C57.7 Other specified female genital organs"
"C578" "C57.8 Overlapping lesion of female genital organs" "C578" "C57.8 Overlapping lesion of female genital organs"
"C579" "C57.9 Female genital organ, unspecified" "C579" "C57.9 Female genital organ, unspecified"
"C58" "C58 Malignant neoplasm of placenta" "C58" "C58 Malignant neoplasm of placenta"
"C60" "C60 Malignant neoplasm of penis" "C60" "C60 Malignant neoplasm of penis"
"C600" "C60.0 Prepuce" "C600" "C60.0 Prepuce"
"C601" "C60.1 Glans penis" "C601" "C60.1 Glans penis"
"C602" "C60.2 Body of penis" "C602" "C60.2 Body of penis"
"C608" "C60.8 Overlapping lesion of penis" "C608" "C60.8 Overlapping lesion of penis"
"C609" "C60.9 Penis, unspecified" "C609" "C60.9 Penis, unspecified"
"C61" "C61 Malignant neoplasm of prostate" "C61" "C61 Malignant neoplasm of prostate"
"C62" "C62 Malignant neoplasm of testis" "C62" "C62 Malignant neoplasm of testis"
"C620" "C62.0 Undescended testis" "C620" "C62.0 Undescended testis"
"C621" "C62.1 Descended testis" "C621" "C62.1 Descended testis"
"C629" "C62.9 Testis, unspecified" "C629" "C62.9 Testis, unspecified"
"C63" "C63 Malignant neoplasm of other and unspecified male genital organs" "C63" "C63 Malignant neoplasm of other and unspecified male genital organs"
"C630" "C63.0 Epididymis" "C630" "C63.0 Epididymis"
"C631" "C63.1 Spermatic cord" "C631" "C63.1 Spermatic cord"
"C632" "C63.2 Scrotum" "C632" "C63.2 Scrotum"
"C637" "C63.7 Other specified male genital organs" "C637" "C63.7 Other specified male genital organs"
"C638" "C63.8 Overlapping lesion of male genital organs" "C638" "C63.8 Overlapping lesion of male genital organs"
"C639" "C63.9 Male genital organ, unspecified" "C639" "C63.9 Male genital organ, unspecified"
"C64" "C64 Malignant neoplasm of kidney, except renal pelvis" "C64" "C64 Malignant neoplasm of kidney, except renal pelvis"
"C65" "C65 Malignant neoplasm of renal pelvis" "C65" "C65 Malignant neoplasm of renal pelvis"
"C66" "C66 Malignant neoplasm of ureter" "C66" "C66 Malignant neoplasm of ureter"
"C67" "C67 Malignant neoplasm of bladder" "C67" "C67 Malignant neoplasm of bladder"
"C670" "C67.0 Trigone of bladder" "C670" "C67.0 Trigone of bladder"
"C671" "C67.1 Dome of bladder" "C671" "C67.1 Dome of bladder"
"C672" "C67.2 Lateral wall of bladder" "C672" "C67.2 Lateral wall of bladder"
"C673" "C67.3 Anterior wall of bladder" "C673" "C67.3 Anterior wall of bladder"
"C674" "C67.4 Posterior wall of bladder" "C674" "C67.4 Posterior wall of bladder"
"C675" "C67.5 Bladder neck" "C675" "C67.5 Bladder neck"
"C676" "C67.6 Ureteric orifice" "C676" "C67.6 Ureteric orifice"
"C677" "C67.7 Urachus" "C677" "C67.7 Urachus"
"C678" "C67.8 Overlapping lesion of bladder" "C678" "C67.8 Overlapping lesion of bladder"
"C679" "C67.9 Bladder, unspecified" "C679" "C67.9 Bladder, unspecified"
"C68" "C68 Malignant neoplasm of other and unspecified urinary organs" "C68" "C68 Malignant neoplasm of other and unspecified urinary organs"
"C680" "C68.0 Urethra" "C680" "C68.0 Urethra"
"C681" "C68.1 Paraurethral glands" "C681" "C68.1 Paraurethral glands"
"C688" "C68.8 Overlapping lesion of urinary organs" "C688" "C68.8 Overlapping lesion of urinary organs"
"C689" "C68.9 Urinary organ, unspecified" "C689" "C68.9 Urinary organ, unspecified"
"C69" "C69 Malignant neoplasm of eye and adnexa" "C69" "C69 Malignant neoplasm of eye and adnexa"
"C690" "C69.0 Conjunctiva" "C690" "C69.0 Conjunctiva"
"C691" "C69.1 Cornea" "C691" "C69.1 Cornea"
"C692" "C69.2 Retina" "C692" "C69.2 Retina"
"C693" "C69.3 Choroid" "C693" "C69.3 Choroid"
"C694" "C69.4 Ciliary body" "C694" "C69.4 Ciliary body"
"C695" "C69.5 Lachrymal gland and duct" "C695" "C69.5 Lachrymal gland and duct"
"C696" "C69.6 Orbit" "C696" "C69.6 Orbit"
"C698" "C69.8 Overlapping lesion of eye and adnexa" "C698" "C69.8 Overlapping lesion of eye and adnexa"
"C699" "C69.9 Eye, unspecified" "C699" "C69.9 Eye, unspecified"
"C70" "C70 Malignant neoplasm of meninges" "C70" "C70 Malignant neoplasm of meninges"
"C700" "C70.0 Cerebral meninges" "C700" "C70.0 Cerebral meninges"
"C701" "C70.1 Spinal meninges" "C701" "C70.1 Spinal meninges"
"C709" "C70.9 Meninges, unspecified" "C709" "C70.9 Meninges, unspecified"
"C71" "C71 Malignant neoplasm of brain" "C71" "C71 Malignant neoplasm of brain"
"C710" "C71.0 Cerebrum, except lobes and ventricles" "C710" "C71.0 Cerebrum, except lobes and ventricles"
"C711" "C71.1 Frontal lobe" "C711" "C71.1 Frontal lobe"
"C712" "C71.2 Temporal lobe" "C712" "C71.2 Temporal lobe"
"C713" "C71.3 Parietal lobe" "C713" "C71.3 Parietal lobe"
"C714" "C71.4 Occipital lobe" "C714" "C71.4 Occipital lobe"
"C715" "C71.5 Cerebral ventricle" "C715" "C71.5 Cerebral ventricle"
"C716" "C71.6 Cerebellum" "C716" "C71.6 Cerebellum"
"C717" "C71.7 Brain stem" "C717" "C71.7 Brain stem"
"C718" "C71.8 Overlapping lesion of brain" "C718" "C71.8 Overlapping lesion of brain"
"C719" "C71.9 Brain, unspecified" "C719" "C71.9 Brain, unspecified"
"C72" "C72 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system" "C72" "C72 Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
"C720" "C72.0 Spinal cord" "C720" "C72.0 Spinal cord"
"C721" "C72.1 Cauda equina" "C721" "C72.1 Cauda equina"
"C722" "C72.2 Olfactory nerve" "C722" "C72.2 Olfactory nerve"
"C723" "C72.3 Optic nerve" "C723" "C72.3 Optic nerve"
"C724" "C72.4 Acoustic nerve" "C724" "C72.4 Acoustic nerve"
"C725" "C72.5 Other and unspecified cranial nerves" "C725" "C72.5 Other and unspecified cranial nerves"
"C728" "C72.8 Overlapping lesion of brain and other parts of central nervous system" "C728" "C72.8 Overlapping lesion of brain and other parts of central nervous system"
"C729" "C72.9 Central nervous system, unspecified" "C729" "C72.9 Central nervous system, unspecified"
"C73" "C73 Malignant neoplasm of thyroid gland" "C73" "C73 Malignant neoplasm of thyroid gland"
"C74" "C74 Malignant neoplasm of adrenal gland" "C74" "C74 Malignant neoplasm of adrenal gland"
"C740" "C74.0 Cortex of adrenal gland" "C740" "C74.0 Cortex of adrenal gland"
"C741" "C74.1 Medulla of adrenal gland" "C741" "C74.1 Medulla of adrenal gland"
"C749" "C74.9 Adrenal gland, unspecified" "C749" "C74.9 Adrenal gland, unspecified"
"C75" "C75 Malignant neoplasm of other endocrine glands and related structures" "C75" "C75 Malignant neoplasm of other endocrine glands and related structures"
"C750" "C75.0 Parathyroid gland" "C750" "C75.0 Parathyroid gland"
"C751" "C75.1 Pituitary gland" "C751" "C75.1 Pituitary gland"
"C752" "C75.2 Craniopharyngeal duct" "C752" "C75.2 Craniopharyngeal duct"
"C753" "C75.3 Pineal gland" "C753" "C75.3 Pineal gland"
"C754" "C75.4 Carotid body" "C754" "C75.4 Carotid body"
"C755" "C75.5 Aortic body and other paraganglia" "C755" "C75.5 Aortic body and other paraganglia"
"C758" "C75.8 Pluriglandular involvement, unspecified" "C758" "C75.8 Pluriglandular involvement, unspecified"
"C759" "C75.9 Endocrine gland, unspecified" "C759" "C75.9 Endocrine gland, unspecified"
"C76" "C76 Malignant neoplasm of other and ill-defined sites" "C76" "C76 Malignant neoplasm of other and ill-defined sites"
"C760" "C76.0 Head, face and neck" "C760" "C76.0 Head, face and neck"
"C761" "C76.1 Thorax" "C761" "C76.1 Thorax"
"C762" "C76.2 Abdomen" "C762" "C76.2 Abdomen"
"C763" "C76.3 Pelvis" "C763" "C76.3 Pelvis"
"C764" "C76.4 Upper limb" "C764" "C76.4 Upper limb"
"C765" "C76.5 Lower limb" "C765" "C76.5 Lower limb"
"C767" "C76.7 Other ill-defined sites" "C767" "C76.7 Other ill-defined sites"
"C768" "C76.8 Overlapping lesion of other and ill-defined sites" "C768" "C76.8 Overlapping lesion of other and ill-defined sites"
"C77" "C77 Secondary and unspecified malignant neoplasm of lymph nodes" "C77" "C77 Secondary and unspecified malignant neoplasm of lymph nodes"
"C770" "C77.0 Lymph nodes of head, face and neck" "C770" "C77.0 Lymph nodes of head, face and neck"
"C771" "C77.1 Intrathoracic lymph nodes" "C771" "C77.1 Intrathoracic lymph nodes"
"C772" "C77.2 Intra-abdominal lymph nodes" "C772" "C77.2 Intra-abdominal lymph nodes"
"C773" "C77.3 Axillary and upper limb lymph nodes" "C773" "C77.3 Axillary and upper limb lymph nodes"
"C774" "C77.4 Inguinal and lower limb lymph nodes" "C774" "C77.4 Inguinal and lower limb lymph nodes"
"C775" "C77.5 Intrapelvic lymph nodes" "C775" "C77.5 Intrapelvic lymph nodes"
"C778" "C77.8 Lymph nodes of multiple regions" "C778" "C77.8 Lymph nodes of multiple regions"
"C779" "C77.9 Lymph node, unspecified" "C779" "C77.9 Lymph node, unspecified"
"C78" "C78 Secondary malignant neoplasm of respiratory and digestive organs" "C78" "C78 Secondary malignant neoplasm of respiratory and digestive organs"
"C780" "C78.0 Secondary malignant neoplasm of lung" "C780" "C78.0 Secondary malignant neoplasm of lung"
"C781" "C78.1 Secondary malignant neoplasm of mediastinum" "C781" "C78.1 Secondary malignant neoplasm of mediastinum"
"C782" "C78.2 Secondary malignant neoplasm of pleura" "C782" "C78.2 Secondary malignant neoplasm of pleura"
"C783" "C78.3 Secondary malignant neoplasm of other and unspecified respiratory organs" "C783" "C78.3 Secondary malignant neoplasm of other and unspecified respiratory organs"
"C784" "C78.4 Secondary malignant neoplasm of small intestine" "C784" "C78.4 Secondary malignant neoplasm of small intestine"
"C785" "C78.5 Secondary malignant neoplasm of large intestine and rectum" "C785" "C78.5 Secondary malignant neoplasm of large intestine and rectum"
"C786" "C78.6 Secondary malignant neoplasm of retroperitoneum and peritoneum" "C786" "C78.6 Secondary malignant neoplasm of retroperitoneum and peritoneum"
"C787" "C78.7 Secondary malignant neoplasm of liver" "C787" "C78.7 Secondary malignant neoplasm of liver"
"C788" "C78.8 Secondary malignant neoplasm of other and unspecified digestive organs" "C788" "C78.8 Secondary malignant neoplasm of other and unspecified digestive organs"
"C79" "C79 Secondary malignant neoplasm of other sites" "C79" "C79 Secondary malignant neoplasm of other sites"
"C790" "C79.0 Secondary malignant neoplasm of kidney and renal pelvis" "C790" "C79.0 Secondary malignant neoplasm of kidney and renal pelvis"
"C791" "C79.1 Secondary malignant neoplasm of bladder and other and unspecified urinary organs" "C791" "C79.1 Secondary malignant neoplasm of bladder and other and unspecified urinary organs"
"C792" "C79.2 Secondary malignant neoplasm of skin" "C792" "C79.2 Secondary malignant neoplasm of skin"
"C793" "C79.3 Secondary malignant neoplasm of brain and cerebral meninges" "C793" "C79.3 Secondary malignant neoplasm of brain and cerebral meninges"
"C794" "C79.4 Secondary malignant neoplasm of other and unspecified parts of nervous system" "C794" "C79.4 Secondary malignant neoplasm of other and unspecified parts of nervous system"
"C795" "C79.5 Secondary malignant neoplasm of bone and bone marrow" "C795" "C79.5 Secondary malignant neoplasm of bone and bone marrow"
"C796" "C79.6 Secondary malignant neoplasm of ovary" "C796" "C79.6 Secondary malignant neoplasm of ovary"
"C797" "C79.7 Secondary malignant neoplasm of adrenal gland" "C797" "C79.7 Secondary malignant neoplasm of adrenal gland"
"C798" "C79.8 Secondary malignant neoplasm of other specified sites" "C798" "C79.8 Secondary malignant neoplasm of other specified sites"
"C799" "C79.9 Secondary malignant neoplasm, unspecified site" "C799" "C79.9 Secondary malignant neoplasm, unspecified site"
"C80" "C80 Malignant neoplasm without specification of site" "C80" "C80 Malignant neoplasm without specification of site"
"C800" "C80.0 Malignant neoplasm, primary site unknown, so stated" "C800" "C80.0 Malignant neoplasm, primary site unknown, so stated"
"C809" "C80.9 Malignant neoplasm, unspecified" "C809" "C80.9 Malignant neoplasm, unspecified"
"C81" "C81 Hodgkin's disease" "C81" "C81 Hodgkin's disease"
"C810" "C81.0 Lymphocytic predominance" "C810" "C81.0 Lymphocytic predominance"
"C811" "C81.1 Nodular sclerosis" "C811" "C81.1 Nodular sclerosis"
"C812" "C81.2 Mixed cellularity" "C812" "C81.2 Mixed cellularity"
"C813" "C81.3 Lymphocytic depletion" "C813" "C81.3 Lymphocytic depletion"
"C814" "C81.4 Lymphocyte-rich classical Hodgkin lymphoma" "C814" "C81.4 Lymphocyte-rich classical Hodgkin lymphoma"
"C817" "C81.7 Other Hodgkin's disease" "C817" "C81.7 Other Hodgkin's disease"
"C819" "C81.9 Hodgkin's disease, unspecified" "C819" "C81.9 Hodgkin's disease, unspecified"
"C82" "C82 Follicular [nodular] non-Hodgkin's lymphoma" "C82" "C82 Follicular [nodular] non-Hodgkin's lymphoma"
"C820" "C82.0 Small cleaved cell, follicular" "C820" "C82.0 Small cleaved cell, follicular"
"C821" "C82.1 Mixed small cleaved and large cell, follicular" "C821" "C82.1 Mixed small cleaved and large cell, follicular"
"C822" "C82.2 Large cell, follicular" "C822" "C82.2 Large cell, follicular"
"C823" "C82.3 Follicular lymphoma grade IIIa" "C823" "C82.3 Follicular lymphoma grade IIIa"
"C824" "C82.4 Follicular lymphoma grade IIIb" "C824" "C82.4 Follicular lymphoma grade IIIb"
"C825" "C82.5 Diffuse follicle centre lymphoma" "C825" "C82.5 Diffuse follicle centre lymphoma"
"C826" "C82.6 Cutaneous follicle centre lymphoma" "C826" "C82.6 Cutaneous follicle centre lymphoma"
"C827" "C82.7 Other types of follicular non-Hodgkin's lymphoma" "C827" "C82.7 Other types of follicular non-Hodgkin's lymphoma"
"C829" "C82.9 Follicular non-Hodgkin's lymphoma, unspecified" "C829" "C82.9 Follicular non-Hodgkin's lymphoma, unspecified"
"C83" "C83 Diffuse non-Hodgkin's lymphoma" "C83" "C83 Diffuse non-Hodgkin's lymphoma"
"C830" "C83.0 Small cell (diffuse)" "C830" "C83.0 Small cell (diffuse)"
"C831" "C83.1 Small cleaved cell (diffuse)" "C831" "C83.1 Small cleaved cell (diffuse)"
"C832" "C83.2 Mixed small and large cell (diffuse)" "C832" "C83.2 Mixed small and large cell (diffuse)"
"C833" "C83.3 Large cell (diffuse)" "C833" "C83.3 Large cell (diffuse)"
"C834" "C83.4 Immunoblastic (diffuse)" "C834" "C83.4 Immunoblastic (diffuse)"
"C835" "C83.5 Lymphoblastic (diffuse)" "C835" "C83.5 Lymphoblastic (diffuse)"
"C836" "C83.6 Undifferentiated (diffuse)" "C836" "C83.6 Undifferentiated (diffuse)"
"C837" "C83.7 Burkitt's tumour" "C837" "C83.7 Burkitt's tumour"
"C838" "C83.8 Other types of diffuse non-Hodgkin's lymphoma" "C838" "C83.8 Other types of diffuse non-Hodgkin's lymphoma"
"C839" "C83.9 Diffuse non-Hodgkin's lymphoma, unspecified" "C839" "C83.9 Diffuse non-Hodgkin's lymphoma, unspecified"
"C84" "C84 Peripheral and cutaneous T-cell lymphomas" "C84" "C84 Peripheral and cutaneous T-cell lymphomas"
"C840" "C84.0 Mycosis fungoides" "C840" "C84.0 Mycosis fungoides"
"C841" "C84.1 Sezary's diease" "C841" "C84.1 Sezary's diease"
"C842" "C84.2 T-zone lymphoma" "C842" "C84.2 T-zone lymphoma"
"C843" "C84.3 Lymphoepithelioid lymphoma" "C843" "C84.3 Lymphoepithelioid lymphoma"
"C844" "C84.4 Peripheral T-cell lymphoma" "C844" "C84.4 Peripheral T-cell lymphoma"
"C845" "C84.5 Other and unspecified T-cell lymphomas" "C845" "C84.5 Other and unspecified T-cell lymphomas"
"C846" "C84.6 Anaplastic large cell lymphoma, ALK-positive" "C846" "C84.6 Anaplastic large cell lymphoma, ALK-positive"
"C847" "C84.7 Anaplastic large cell lymphoma, ALK-negative" "C847" "C84.7 Anaplastic large cell lymphoma, ALK-negative"
"C848" "C84.8 Cutaneous T-cell lymphoma, unspecified" "C848" "C84.8 Cutaneous T-cell lymphoma, unspecified"
"C849" "C84.9 Mature T/NK-cell lymphoma, unspecified" "C849" "C84.9 Mature T/NK-cell lymphoma, unspecified"
"C85" "C85 Other and unspecified types of non-Hodgkin's lymphoma" "C85" "C85 Other and unspecified types of non-Hodgkin's lymphoma"
"C850" "C85.0 Lymphosarcoma" "C850" "C85.0 Lymphosarcoma"
"C851" "C85.1 B-cell lymphoma, unspecified" "C851" "C85.1 B-cell lymphoma, unspecified"
"C852" "C85.2 Mediastinal (thymic) large B-cell lymphoma" "C852" "C85.2 Mediastinal (thymic) large B-cell lymphoma"
"C857" "C85.7 Other specified types of non-Hodgkin's lymphoma" "C857" "C85.7 Other specified types of non-Hodgkin's lymphoma"
"C859" "C85.9 Non-Hodgkin's lymphoma, unspecified type" "C859" "C85.9 Non-Hodgkin's lymphoma, unspecified type"
"C86" "C86 Other specified types of T/NK-cell lymphoma" "C86" "C86 Other specified types of T/NK-cell lymphoma"
"C860" "C86.0 Extranodal NK/T-cell lymphoma, nasal type" "C860" "C86.0 Extranodal NK/T-cell lymphoma, nasal type"
"C861" "C86.1 Hepatosplenic T-cell lymphoma" "C861" "C86.1 Hepatosplenic T-cell lymphoma"
"C862" "C86.2 Enteropathy-type (intestinal) T-cell lymphoma" "C862" "C86.2 Enteropathy-type (intestinal) T-cell lymphoma"
"C863" "C86.3 Subcutaneous panniculitis-like T-cell lymphoma" "C863" "C86.3 Subcutaneous panniculitis-like T-cell lymphoma"
"C864" "C86.4 Blastic NK-cell lymphoma" "C864" "C86.4 Blastic NK-cell lymphoma"
"C865" "C86.5 Angioimmunoblastic T-cell lymphoma" "C865" "C86.5 Angioimmunoblastic T-cell lymphoma"
"C866" "C86.6 Primary cutaneous CD30-positive T-cell proliferations" "C866" "C86.6 Primary cutaneous CD30-positive T-cell proliferations"
"C88" "C88 Malignant immunoproliferative diseases" "C88" "C88 Malignant immunoproliferative diseases"
"C880" "C88.0 Waldenstrom's macroglobulinaemia" "C880" "C88.0 Waldenstrom's macroglobulinaemia"
"C881" "C88.1 Alpha heavy chain disease" "C881" "C88.1 Alpha heavy chain disease"
"C882" "C88.2 Gamma heavy chain disease" "C882" "C88.2 Gamma heavy chain disease"
"C883" "C88.3 Immunoproliferative small intestinal disease" "C883" "C88.3 Immunoproliferative small intestinal disease"
"C884" "C88.4 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]" "C884" "C88.4 Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]"
"C887" "C88.7 Other malignant immunoproliferative diseases" "C887" "C88.7 Other malignant immunoproliferative diseases"
"C889" "C88.9 Malignant immunoproliferative disease, unspecified" "C889" "C88.9 Malignant immunoproliferative disease, unspecified"
"C90" "C90 Multiple myeloma and malignant plasma cell neoplasms" "C90" "C90 Multiple myeloma and malignant plasma cell neoplasms"
