"OriginalValue" "OriginalMeaning" "RecodedValue" "RecodedMeaning"
"A114" "A11.4 Cortical mapping" "A114" "A11.4 Cortical mapping"
"A118" "A11.8 Other specified operations on tissue of brain" "A118" "A11.8 Other specified operations on tissue of brain"
"A119" "A11.9 Unspecified operations on tissue of brain" "A119" "A11.9 Unspecified operations on tissue of brain"
"A12" "A12 Creation of connection from ventricle of brain" "A12" "A12 Creation of connection from ventricle of brain"
"A121" "A12.1 Ventriculocisternostomy" "A121" "A12.1 Ventriculocisternostomy"
"A122" "A12.2 Creation of ventriculovascular shunt" "A122" "A12.2 Creation of ventriculovascular shunt"
"A123" "A12.3 Creation of ventriculopleural shunt" "A123" "A12.3 Creation of ventriculopleural shunt"
"A124" "A12.4 Creation of ventriculoperitoneal shunt" "A124" "A12.4 Creation of ventriculoperitoneal shunt"
"A125" "A12.5 Creation of subcutaneous cerebrospinal fluid reservoir" "A125" "A12.5 Creation of subcutaneous cerebrospinal fluid reservoir"
"A128" "A12.8 Other specified creation of connection from ventricle of brain" "A128" "A12.8 Other specified creation of connection from ventricle of brain"
"A129" "A12.9 Unspecified creation of connection from ventricle of brain" "A129" "A12.9 Unspecified creation of connection from ventricle of brain"
"A13" "A13 Attention to component of connection from ventricle of brain" "A13" "A13 Attention to component of connection from ventricle of brain"
"A131" "A13.1 Maintenance of proximal catheter of cerebroventricular shunt" "A131" "A13.1 Maintenance of proximal catheter of cerebroventricular shunt"
"A132" "A13.2 Maintenance of distal catheter of cerebroventricular shunt" "A132" "A13.2 Maintenance of distal catheter of cerebroventricular shunt"
"A133" "A13.3 Insertion of antisyphon device into cerebroventricular shunt" "A133" "A13.3 Insertion of antisyphon device into cerebroventricular shunt"
"A134" "A13.4 Renewal of valve of cerebroventricular shunt" "A134" "A13.4 Renewal of valve of cerebroventricular shunt"
"A138" "A13.8 Other specified attention to component of connection from ventricle of brain" "A138" "A13.8 Other specified attention to component of connection from ventricle of brain"
"A139" "A13.9 Unspecified attention to component of connection from ventricle of brain" "A139" "A13.9 Unspecified attention to component of connection from ventricle of brain"
"A14" "A14 Other operations on connection from ventricle of brain" "A14" "A14 Other operations on connection from ventricle of brain"
"A141" "A14.1 Renewal of cerebroventricular shunt" "A141" "A14.1 Renewal of cerebroventricular shunt"
"A142" "A14.2 Revision of cerebroventricular shunt NEC" "A142" "A14.2 Revision of cerebroventricular shunt NEC"
"A143" "A14.3 Removal of cerebroventricular shunt" "A143" "A14.3 Removal of cerebroventricular shunt"
"A144" "A14.4 Irrigation of cerebroventricular shunt" "A144" "A14.4 Irrigation of cerebroventricular shunt"
"A145" "A14.5 Attention to cerebroventricular shunt NEC" "A145" "A14.5 Attention to cerebroventricular shunt NEC"
"A148" "A14.8 Other specified other operations on connection from ventricle of brain" "A148" "A14.8 Other specified other operations on connection from ventricle of brain"
"A149" "A14.9 Unspecified other operations on connection from ventricle of brain" "A149" "A14.9 Unspecified other operations on connection from ventricle of brain"
"A16" "A16 Other open operations on ventricle of brain" "A16" "A16 Other open operations on ventricle of brain"
"A161" "A16.1 Open drainage of ventricle of brain NEC" "A161" "A16.1 Open drainage of ventricle of brain NEC"
"A168" "A16.8 Other specified other open operations on ventricle of brain" "A168" "A16.8 Other specified other open operations on ventricle of brain"
"A169" "A16.9 Unspecified other open operations on ventricle of brain" "A169" "A16.9 Unspecified other open operations on ventricle of brain"
"A17" "A17 Therapeutic endoscopic operations on ventricle of brain" "A17" "A17 Therapeutic endoscopic operations on ventricle of brain"
"A171" "A17.1 Endoscopic extirpation of lesion of ventricle of brain" "A171" "A17.1 Endoscopic extirpation of lesion of ventricle of brain"
"A172" "A17.2 Endoscopic third ventriculostomy" "A172" "A17.2 Endoscopic third ventriculostomy"
"A178" "A17.8 Other specified therapeutic endoscopic operations on ventricle of brain" "A178" "A17.8 Other specified therapeutic endoscopic operations on ventricle of brain"
"A179" "A17.9 Unspecified therapeutic endoscopic operations on ventricle of brain" "A179" "A17.9 Unspecified therapeutic endoscopic operations on ventricle of brain"
"A18" "A18 Diagnostic endoscopic examination of ventricle of brain" "A18" "A18 Diagnostic endoscopic examination of ventricle of brain"
"A181" "A18.1 Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain" "A181" "A18.1 Diagnostic endoscopic examination of ventricle of brain and biopsy of lesion of ventricle of brain"
"A188" "A18.8 Other specified diagnostic endoscopic examination of ventricle of brain" "A188" "A18.8 Other specified diagnostic endoscopic examination of ventricle of brain"
"A189" "A18.9 Unspecified diagnostic endoscopic examination of ventricle of brain" "A189" "A18.9 Unspecified diagnostic endoscopic examination of ventricle of brain"
"A20" "A20 Other operations on ventricle of brain" "A20" "A20 Other operations on ventricle of brain"
"A201" "A20.1 Drainage of ventricle of brain NEC" "A201" "A20.1 Drainage of ventricle of brain NEC"
"A202" "A20.2 Ventriculography of brain" "A202" "A20.2 Ventriculography of brain"
"A203" "A20.3 Monitoring of pressure in ventricle of brain" "A203" "A20.3 Monitoring of pressure in ventricle of brain"
"A208" "A20.8 Other specified other operations on ventricle of brain" "A208" "A20.8 Other specified other operations on ventricle of brain"
"A209" "A20.9 Unspecified other operations on ventricle of brain" "A209" "A20.9 Unspecified other operations on ventricle of brain"
"A22" "A22 Operations on subarachnoid space of brain" "A22" "A22 Operations on subarachnoid space of brain"
"A221" "A22.1 Drainage of subarachnoid space of brain" "A221" "A22.1 Drainage of subarachnoid space of brain"
"A222" "A22.2 Puncture of cistern of brain" "A222" "A22.2 Puncture of cistern of brain"
"A223" "A22.3 Isotopic cisternography" "A223" "A22.3 Isotopic cisternography"
"A228" "A22.8 Other specified operations on subarachnoid space of brain" "A228" "A22.8 Other specified operations on subarachnoid space of brain"
"A229" "A22.9 Unspecified operations on subarachnoid space of brain" "A229" "A22.9 Unspecified operations on subarachnoid space of brain"
"A24" "A24 Graft to cranial nerve" "A24" "A24 Graft to cranial nerve"
"A241" "A24.1 Primary microsurgical graft to facial nerve (vii)" "A241" "A24.1 Primary microsurgical graft to facial nerve (vii)"
"A242" "A24.2 Secondary microsurgical graft to facial nerve (vii)" "A242" "A24.2 Secondary microsurgical graft to facial nerve (vii)"
"A243" "A24.3 Microsurgical graft to facial nerve (vii) NEC" "A243" "A24.3 Microsurgical graft to facial nerve (vii) NEC"
"A244" "A24.4 Primary microsurgical graft to cranial nerve NEC" "A244" "A24.4 Primary microsurgical graft to cranial nerve NEC"
"A245" "A24.5 Secondary microsurgical graft to cranial nerve NEC" "A245" "A24.5 Secondary microsurgical graft to cranial nerve NEC"
"A246" "A24.6 Microsurgical graft to cranial nerve NEC" "A246" "A24.6 Microsurgical graft to cranial nerve NEC"
"A248" "A24.8 Other specified graft to cranial nerve" "A248" "A24.8 Other specified graft to cranial nerve"
"A249" "A24.9 Unspecified graft to cranial nerve" "A249" "A24.9 Unspecified graft to cranial nerve"
"A25" "A25 Intracranial transection of cranial nerve" "A25" "A25 Intracranial transection of cranial nerve"
"A251" "A25.1 Intracranial transection of optic nerve (ii)" "A251" "A25.1 Intracranial transection of optic nerve (ii)"
"A252" "A25.2 Intracranial transection of oculomotor nerve (iii)" "A252" "A25.2 Intracranial transection of oculomotor nerve (iii)"
"A253" "A25.3 Intracranial transection of trigeminal nerve (v)" "A253" "A25.3 Intracranial transection of trigeminal nerve (v)"
"A254" "A25.4 Intracranial transection of facial nerve (vii)" "A254" "A25.4 Intracranial transection of facial nerve (vii)"
"A255" "A25.5 Intracranial transection of acoustic nerve (viii)" "A255" "A25.5 Intracranial transection of acoustic nerve (viii)"
"A256" "A25.6 Intracranial transection of glossopharyngeal nerve (ix)" "A256" "A25.6 Intracranial transection of glossopharyngeal nerve (ix)"
"A257" "A25.7 Intracranial transection of vagus nerve (x)" "A257" "A25.7 Intracranial transection of vagus nerve (x)"
"A258" "A25.8 Intracranial transection of specified cranial nerve NEC" "A258" "A25.8 Intracranial transection of specified cranial nerve NEC"
"A259" "A25.9 Unspecified intracranial transection of cranial nerve" "A259" "A25.9 Unspecified intracranial transection of cranial nerve"
"A26" "A26 Other intracranial destruction of cranial nerve" "A26" "A26 Other intracranial destruction of cranial nerve"
"A261" "A26.1 Intracranial destruction of optic nerve (ii)" "A261" "A26.1 Intracranial destruction of optic nerve (ii)"
"A262" "A26.2 Intracranial destruction of oculomotor nerve (iii)" "A262" "A26.2 Intracranial destruction of oculomotor nerve (iii)"
"A263" "A26.3 Intracranial destruction of trigeminal nerve (v)" "A263" "A26.3 Intracranial destruction of trigeminal nerve (v)"
"A264" "A26.4 Intracranial destruction of facial nerve (vii)" "A264" "A26.4 Intracranial destruction of facial nerve (vii)"
"A265" "A26.5 Intracranial destruction of acoustic nerve (viii)" "A265" "A26.5 Intracranial destruction of acoustic nerve (viii)"
"A266" "A26.6 Intracranial destruction of glossopharyngeal nerve (ix)" "A266" "A26.6 Intracranial destruction of glossopharyngeal nerve (ix)"
"A267" "A26.7 Intracranial destruction of vagus nerve (x)" "A267" "A26.7 Intracranial destruction of vagus nerve (x)"
"A268" "A26.8 Intracranial destruction of specified cranial nerve NEC" "A268" "A26.8 Intracranial destruction of specified cranial nerve NEC"
"A269" "A26.9 Unspecified other intracranial destruction of cranial nerve" "A269" "A26.9 Unspecified other intracranial destruction of cranial nerve"
"A27" "A27 Extracranial extirpation of vagus nerve (x)" "A27" "A27 Extracranial extirpation of vagus nerve (x)"
"A271" "A27.1 Extracranial truncal vagotomy" "A271" "A27.1 Extracranial truncal vagotomy"
"A272" "A27.2 Proximal gastric vagotomy" "A272" "A27.2 Proximal gastric vagotomy"
"A273" "A27.3 Selective extracranial vagotomy NEC" "A273" "A27.3 Selective extracranial vagotomy NEC"
"A278" "A27.8 Other specified extracranial extirpation of vagus nerve (x)" "A278" "A27.8 Other specified extracranial extirpation of vagus nerve (x)"
"A279" "A27.9 Unspecified extracranial extirpation of vagus nerve (x)" "A279" "A27.9 Unspecified extracranial extirpation of vagus nerve (x)"
"A28" "A28 Extracranial extirpation of other cranial nerve" "A28" "A28 Extracranial extirpation of other cranial nerve"
"A281" "A28.1 Extracranial transection of trigeminal nerve (v) NEC" "A281" "A28.1 Extracranial transection of trigeminal nerve (v) NEC"
